date,stage,replicate,accl.temp,cat.temp,salinity.ppt,chamber,trial,loe.temp.C,weight.g,fork.length.mm,recovery,species,
10/15/12,juvenile,1,16,medium,2.3,1,1,27.8,0.89,53,Y,delta smelt,
10/15/12,juvenile,2,16,medium,2.3,2,1,28.1,0.52,42,Y,delta smelt,
10/15/12,juvenile,3,16,medium,2.3,3,1,26.3,0.51,44,Y,delta smelt,
10/15/12,juvenile,4,16,medium,2.3,4,1,28.8,1.1,54,Y,delta smelt,
10/15/12,juvenile,5,16,medium,2.3,1,2,28.3,0.59,43,Y,delta smelt,
10/15/12,juvenile,6,16,medium,2.3,2,2,28,0.57,45,Y,delta smelt,
10/15/12,juvenile,7,16,medium,2.3,3,2,27.8,0.79,51,Y,delta smelt,
10/15/12,juvenile,8,16,medium,2.3,4,2,28.8,0.8,50,Y,delta smelt,
10/15/12,juvenile,9,16,medium,2.3,1,3,28.3,0.72,50,Y,delta smelt,
10/15/12,juvenile,10,16,medium,2.3,2,3,29,0.92,51,Y,delta smelt,
10/15/12,juvenile,11,16,medium,2.3,3,3,29.2,0.9,51,Y,delta smelt,
10/15/12,juvenile,12,16,medium,2.3,4,3,28.5,1.13,53,N,delta smelt,
10/15/12,juvenile,13,16,medium,2.3,1,4,28.6,0.47,44,N,delta smelt,
10/15/12,juvenile,14,16,medium,2.3,2,4,28.3,0.56,45,Y,delta smelt,
10/15/12,juvenile,15,16,medium,2.3,3,4,29,0.8,49,Y,delta smelt,
10/15/12,juvenile,16,16,medium,2.3,4,4,27.2,0.97,52,Y,delta smelt,
10/19/12,juvenile,17,16,medium,2.3,1,5,27.8,0.71,47,N,delta smelt,
10/19/12,juvenile,18,16,medium,2.3,2,5,28.5,0.93,53,N,delta smelt,
10/19/12,juvenile,19,16,medium,2.3,3,5,28.2,0.42,43,Y,delta smelt,
10/19/12,juvenile,20,16,medium,2.3,4,5,28,0.76,49,Y,delta smelt,
8/22/14,juvenile,1,16,medium,2.3,1,1,34.1,0.9838,56,N,menidia,
8/22/14,juvenile,2,16,medium,2.3,2,1,34.6,0.4338,44,Y,menidia,
8/22/14,juvenile,3,16,medium,2.3,3,1,33.8,0.2792,37,Y,menidia,
8/22/14,juvenile,4,16,medium,2.3,4,1,33.8,0.3366,40,N,menidia,
8/22/14,juvenile,5,16,medium,2.3,1,2,34.5,0.5027,46,N,menidia,
8/22/14,juvenile,6,16,medium,2.3,2,2,34.2,0.3481,40,Y,menidia,
8/22/14,juvenile,7,16,medium,2.3,3,2,33.7,0.1861,34,Y,menidia,
8/22/14,juvenile,8,16,medium,2.3,4,2,34,0.5066,45,Y,menidia,
8/22/14,juvenile,9,16,medium,2.3,1,3,33.3,0.3625,42,N,menidia,
8/22/14,juvenile,10,16,medium,2.3,2,3,34,0.234,35,Y,menidia,
8/22/14,juvenile,11,16,medium,2.3,3,3,32.9,0.393,43,Y,menidia,
8/22/14,juvenile,12,16,medium,2.3,4,3,33.6,0.5504,48,Y,menidia,
8/22/14,juvenile,13,16,medium,2.3,1,4,33.6,0.6452,49,Y,menidia,
8/22/14,juvenile,14,16,medium,2.3,2,4,33.7,0.3545,42,Y,menidia,
8/22/14,juvenile,15,16,medium,2.3,3,4,33.6,0.3602,40,Y,menidia,
8/22/14,juvenile,16,16,medium,2.3,4,4,33.6,0.4505,46,Y,menidia,
