Fish.ID	Temp_treat_oldcodes	Time_point	Rep_within_treat	Fish.no_total	Species	Temp	Temp_treat	Temp_rounded	Temp_treat_level	Fish.ID.old
Ds_HC_t0_1	HC	0	1	1	Ds	16	HC	16	1	Ds.HC.t0.1
Ds_HC_t0_2	HC	0	2	2	Ds	16	HC	16	1	Ds.HC.t0.2
Ds_HC_t0_3	HC	0	3	3	Ds	16	HC	16	1	Ds.HC.t0.3
Ds_HC_t0_4	HC	0	4	4	Ds	16	HC	16	1	Ds.HC.t0.4
Ds_HC_t0_5	HC	0	5	5	Ds	16	HC	16	1	Ds.HC.t0.5
Ds_HC_t60_1	HC	60	1	6	Ds	16	HC	16	1	Ds.HC.t60.1
Ds_HC_t60_2	HC	60	2	7	Ds	16	HC	16	1	Ds.HC.t60.2
Ds_HC_t60_3	HC	60	3	8	Ds	16	HC	16	1	Ds.HC.t60.3
Ds_HC_t60_4	HC	60	4	9	Ds	16	HC	16	1	Ds.HC.t60.4
Ds_HC_t60_5	HC	60	5	10	Ds	16	HC	16	1	Ds.HC.t60.5
Ds_CTMax6_t0_1	T2	0	1	11	Ds	22.2	CTMax6	22	2	Ds.T2.t0.1
Ds_CTMax6_t0_2	T2	0	2	12	Ds	22.2	CTMax6	22	2	Ds.T2.t0.2
Ds_CTMax6_t0_3	T2	0	3	13	Ds	22.2	CTMax6	22	2	Ds.T2.t0.3
Ds_CTMax6_t0_4	T2	0	4	14	Ds	22.2	CTMax6	22	2	Ds.T2.t0.4
Ds_CTMax6_t0_5	T2	0	5	15	Ds	22.2	CTMax6	22	2	Ds.T2.t0.5
Ds_CTMax6_t0_6	T2	0	6	16	Ds	22.2	CTMax6	22	2	Ds.T2.t0.6
Ds_CTMax6_t60_1	T2	60	1	17	Ds	22.2	CTMax6	22	2	Ds.T2.t60.1
Ds_CTMax6_t60_2	T2	60	2	18	Ds	22.2	CTMax6	22	2	Ds.T2.t60.2
Ds_CTMax6_t60_3	T2	60	3	19	Ds	22.2	CTMax6	22	2	Ds.T2.t60.3
Ds_CTMax6_t60_4	T2	60	4	20	Ds	22.2	CTMax6	22	2	Ds.T2.t60.4
Ds_CTMax6_t60_5	T2	60	5	21	Ds	22.2	CTMax6	22	2	Ds.T2.t60.5
Ds_CTMax4_t0_1	T3	0	1	22	Ds	24.2	CTMax4	24	3	Ds.T3.t0.1
Ds_CTMax4_t0_2	T3	0	2	23	Ds	24.2	CTMax4	24	3	Ds.T3.t0.2
Ds_CTMax4_t0_3	T3	0	3	24	Ds	24.2	CTMax4	24	3	Ds.T3.t0.3
Ds_CTMax4_t0_4	T3	0	4	25	Ds	24.2	CTMax4	24	3	Ds.T3.t0.4
Ds_CTMax4_t0_5	T3	0	5	26	Ds	24.2	CTMax4	24	3	Ds.T3.t0.5
Ds_CTMax4_t0_6	T3	0	6	27	Ds	24.2	CTMax4	24	3	Ds.T3.t0.6
Ds_CTMax4_t60_1	T3	60	1	28	Ds	24.2	CTMax4	24	3	Ds.T3.t60.1
Ds_CTMax4_t60_2	T3	60	2	29	Ds	24.2	CTMax4	24	3	Ds.T3.t60.2
Ds_CTMax4_t60_3	T3	60	3	30	Ds	24.2	CTMax4	24	3	Ds.T3.t60.3
Ds_CTMax4_t60_4	T3	60	4	31	Ds	24.2	CTMax4	24	3	Ds.T3.t60.4
Ds_CTMax4_t60_5	T3	60	5	32	Ds	24.2	CTMax4	24	3	Ds.T3.t60.5
Ds_CTMax2_t0_1	T4	0	1	33	Ds	26.2	CTMax2	26	4	Ds.T4.t0.1
Ds_CTMax2_t0_2	T4	0	2	34	Ds	26.2	CTMax2	26	4	Ds.T4.t0.2
Ds_CTMax2_t0_3	T4	0	3	35	Ds	26.2	CTMax2	26	4	Ds.T4.t0.3
Ds_CTMax2_t0_4	T4	0	4	36	Ds	26.2	CTMax2	26	4	Ds.T4.t0.4
Ds_CTMax2_t0_5	T4	0	5	37	Ds	26.2	CTMax2	26	4	Ds.T4.t0.5
Ds_CTMax2_t0_6	T4	0	6	38	Ds	26.2	CTMax2	26	4	Ds.T4.t0.6
Ds_CTMax2_t60_1	T4	60	1	39	Ds	26.2	CTMax2	26	4	Ds.T4.t60.1
Ds_CTMax2_t60_2	T4	60	2	40	Ds	26.2	CTMax2	26	4	Ds.T4.t60.2
Ds_CTMax2_t60_3	T4	60	3	41	Ds	26.2	CTMax2	26	4	Ds.T4.t60.3
Ds_CTMax2_t60_5	T4	60	5	42	Ds	26.2	CTMax2	26	4	Ds.T4.t60.5
Ds_CTMax2_t60_6	T4	60	6	43	Ds	26.2	CTMax2	26	4	Ds.T4.t60.6
Mb_CTMax2_t0_1	CTMax2	0	1	44	Mb	31.8	CTMax2	32	5	Mb.CTMax.2.t0.1
Mb_CTMax2_t0_2	CTMax2	0	2	45	Mb	31.8	CTMax2	32	5	Mb.CTMax.2.t0.2
Mb_CTMax2_t0_3	CTMax2	0	3	46	Mb	31.8	CTMax2	32	5	Mb.CTMax.2.t0.3
Mb_CTMax2_t0_4	CTMax2	0	4	47	Mb	31.8	CTMax2	32	5	Mb.CTMax.2.t0.4
Mb_CTMax2_t0_5	CTMax2	0	5	48	Mb	31.8	CTMax2	32	5	Mb.CTMax.2.t0.5
