Direction	Freq	Temp_treat	Time_point	Species	Temp_rounded	Treat_Combined
Down	148	CTMax2	0	Ds	26	CTMax2_0_Ds_26
NotSig	11179	CTMax2	0	Ds	26	CTMax2_0_Ds_26
Up	253	CTMax2	0	Ds	26	CTMax2_0_Ds_26
Down	3	CTMax4	0	Ds	24	CTMax4_0_Ds_24
NotSig	11566	CTMax4	0	Ds	24	CTMax4_0_Ds_24
Up	11	CTMax4	0	Ds	24	CTMax4_0_Ds_24
Down	4	CTMax6	0	Ds	22	CTMax6_0_Ds_22
NotSig	11573	CTMax6	0	Ds	22	CTMax6_0_Ds_22
Up	3	CTMax6	0	Ds	22	CTMax6_0_Ds_22
Down	26	CTMax2	60	Ds	26	CTMax2_60_Ds_26
NotSig	11472	CTMax2	60	Ds	26	CTMax2_60_Ds_26
Up	82	CTMax2	60	Ds	26	CTMax2_60_Ds_26
Down	7	CTMax4	60	Ds	24	CTMax4_60_Ds_24
NotSig	11500	CTMax4	60	Ds	24	CTMax4_60_Ds_24
Up	73	CTMax4	60	Ds	24	CTMax4_60_Ds_24
Down	0	CTMax6	60	Ds	22	CTMax6_60_Ds_22
NotSig	11580	CTMax6	60	Ds	22	CTMax6_60_Ds_22
Up	0	CTMax6	60	Ds	22	CTMax6_60_Ds_22
Down	932	CTMax2	0	Mb	32	CTMax2_0_Mb_32
NotSig	9974	CTMax2	0	Mb	32	CTMax2_0_Mb_32
Up	674	CTMax2	0	Mb	32	CTMax2_0_Mb_32
Down	577	CTMax4	0	Mb	30	CTMax4_0_Mb_30
NotSig	10571	CTMax4	0	Mb	30	CTMax4_0_Mb_30
Up	432	CTMax4	0	Mb	30	CTMax4_0_Mb_30
Down	2	CTMax8	0	Mb	26	CTMax8_0_Mb_26
NotSig	11571	CTMax8	0	Mb	26	CTMax8_0_Mb_26
Up	7	CTMax8	0	Mb	26	CTMax8_0_Mb_26
Down	7	CTMax12	0	Mb	22	CTMax12_0_Mb_22
NotSig	11569	CTMax12	0	Mb	22	CTMax12_0_Mb_22
Up	4	CTMax12	0	Mb	22	CTMax12_0_Mb_22
Down	1088	CTMax2	60	Mb	32	CTMax2_60_Mb_32
NotSig	9325	CTMax2	60	Mb	32	CTMax2_60_Mb_32
Up	1167	CTMax2	60	Mb	32	CTMax2_60_Mb_32
Down	420	CTMax4	60	Mb	30	CTMax4_60_Mb_30
NotSig	10605	CTMax4	60	Mb	30	CTMax4_60_Mb_30
Up	555	CTMax4	60	Mb	30	CTMax4_60_Mb_30
Down	127	CTMax8	60	Mb	26	CTMax8_60_Mb_26
NotSig	11167	CTMax8	60	Mb	26	CTMax8_60_Mb_26
Up	286	CTMax8	60	Mb	26	CTMax8_60_Mb_26
Down	0	CTMax12	60	Mb	22	CTMax12_60_Mb_22
NotSig	11526	CTMax12	60	Mb	22	CTMax12_60_Mb_22
Up	54	CTMax12	60	Mb	22	CTMax12_60_Mb_22
Down	0	HC	0	Ds	16	HC_0_Ds_16
NotSig	0	HC	0	Ds	16	HC_0_Ds_16
Up	0	HC	0	Ds	16	HC_0_Ds_16
Down	0	HC	60	Ds	16	HC_60_Ds_16
NotSig	0	HC	60	Ds	16	HC_60_Ds_16
Up	0	HC	60	Ds	16	HC_60_Ds_16
Down	0	HC	0	Mb	16	HC_0_Mb_16
NotSig	0	HC	0	Mb	16	HC_0_Mb_16
Up	0	HC	0	Mb	16	HC_0_Mb_16
Down	0	HC	60	Mb	16	HC_60_Mb_16
NotSig	0	HC	60	Mb	16	HC_60_Mb_16
Up	0	HC	60	Mb	16	HC_60_Mb_16
