	logFC	AveExpr	t	P.Value	adj.P.Val	B
OG0004355	5.40796691339813	6.00694276658568	25.2019853200791	1.25045248654289e-40	1.44802397941667e-36	80.5694431881671
OG0008972	4.24986462273212	6.63378036722484	19.1738999051024	3.20955377559089e-32	1.85833163606713e-28	62.3526606095865
OG0001501	3.56157068608137	4.40898477482291	17.7097009377475	6.48731533718115e-30	2.50410372015192e-26	57.3426179099613
OG0010913	3.10885868609911	6.34666028850065	17.3037559838266	2.96077779512961e-29	8.57145171690023e-26	55.8773384759335
OG0007658	2.58171582363444	4.02398929304506	15.7514288356429	1.19005280104669e-26	2.29680190602011e-23	49.9965480724352
OG0007302	7.49613141355541	1.93552238144183	15.9778958259486	4.86840213465615e-27	1.12752193438636e-23	48.3675249358001
OG0003449	2.8326835075795	5.71790440568749	14.705810601468	8.02816412889832e-25	1.32808772303775e-21	45.9693476437431
OG0010566	3.01585615616627	6.10720700193914	14.6653609163916	9.47512639891663e-25	1.37152454624318e-21	45.7996565580607
OG0003015	5.62164642695179	5.37377197589218	14.4924535871179	1.92857549450439e-24	2.48143380292899e-21	44.8838643123081
OG0009311	1.61906235377531	7.35291030600525	14.3071080630332	4.14865450626175e-24	4.80414191825111e-21	44.374047674102
OG0008883	1.97646073151898	6.0427881707355	13.6110024811132	7.65462986022917e-23	8.0582376164958e-20	41.4788961689758
OG0009906	2.31851933538041	2.78478912641605	13.2692291116387	3.27298106514783e-22	3.15842672786765e-19	39.8741461736762
OG0011657	2.66839056367236	8.20679318426402	12.8400410004255	2.06968453123228e-21	1.83683460568184e-18	38.2463747809491
OG0008791	2.70794028204978	6.52527944846015	12.8237505223932	2.22069814158426e-21	1.83683460568184e-18	38.1914092552975
OG0004288	2.00401679669814	5.95431672829418	12.5870133139966	6.20081886287192e-21	4.78703216213712e-18	37.1842375678878
OG0001692	1.91411659961972	4.70298357202005	12.3677715179934	1.61394777186561e-20	1.16809469988774e-17	36.2070605076194
OG0009258	1.92829537305749	8.14652760668674	12.3095068922293	2.08296311863818e-20	1.41886546551942e-17	35.9961972811561
OG0007244	2.22712996754419	3.84962344130061	12.281068754368	2.35947758898618e-20	1.51793058224778e-17	35.8256604436256
OG0005350	3.38286415692767	6.20350695951433	12.2487287136941	2.71909191504038e-20	1.65721496716672e-17	35.6907089906996
OG0006362	2.71847510190951	4.04048820027236	12.1744398234382	3.76816356275999e-20	2.18176670283803e-17	35.406879511278
OG0008458	1.78571658411535	7.53578138269622	12.1392161204922	4.39955073325977e-20	2.42603797576896e-17	35.2596523137829
OG0009445	2.01674144925098	5.82713335277556	12.0728736246572	5.89223326893433e-20	3.10145732973907e-17	34.9632141349601
OG0002501	-1.58956126347442	4.03177564394415	-11.9550797242788	9.90921313597983e-20	4.98907339628897e-17	34.3359413864188
OG0004098	2.62108462302164	4.7585484574648	11.7014563336773	3.04941389735333e-19	1.47134220547298e-16	33.3476179766105
OG0002983	2.98425232766174	4.44858271152221	11.5796812306546	5.24320191954834e-19	2.42865112913479e-16	32.6811762410337
OG0005608	2.12782234916695	5.13474121691686	11.2966851652596	1.85765876892975e-18	8.27372636315636e-16	31.57490729858
OG0003605	2.68226701931543	1.92678905139477	11.2322130387377	2.48067154171519e-18	1.06393246122451e-15	31.2138415728755
OG0004073	2.76209559403696	6.54705222249774	11.1858126540411	3.05537635654687e-18	1.26361636460046e-15	31.0855751080417
OG0000353	2.54505003518234	3.9881185689631	10.9440002254382	9.07769796434204e-18	3.50399141423603e-15	30.0130101057383
OG0008711	2.53906938255029	3.11088633799014	10.9724957970617	7.98245665147151e-18	3.18747751807035e-15	29.8774248935728
OG0005054	1.57036945637595	6.16759632677258	10.7623419827772	2.06353613591896e-17	7.70830595288437e-15	29.2023504263462
OG0001800	-1.63219312895951	5.80000174411755	-10.6417084131516	3.56494640426026e-17	1.29006498004168e-14	28.6627061659254
OG0004665	1.83716286876875	5.00114341984927	10.4956930145832	6.9193776372878e-17	2.42807251635735e-14	27.9853062737454
OG0005237	1.39289544816568	8.00396998702721	10.4494357165502	8.53971477575207e-17	2.9085263853885e-14	27.8041779246024
OG0000733	1.18749944386826	5.91407934910427	10.4288277381268	9.37934145993602e-17	3.10322211731597e-14	27.7094464933576
OG0003395	-1.15850307891654	4.2917126146214	-10.394666757006	1.09575626173196e-16	3.52468264190448e-14	27.5651397386573
OG0008215	2.17148783047585	5.58946002144909	10.3022022875805	1.66991704589846e-16	5.15038394795812e-14	27.1493506215902
OG0011661	1.47460608735737	4.18450911895872	10.2995663673678	1.69010872212788e-16	5.15038394795812e-14	27.128960748134
OG0008721	1.3855257380241	8.28298896829628	10.2555940182428	2.06546429991104e-16	6.13284015204356e-14	26.934798543517
OG0010209	2.52894041928997	5.60360242190569	10.1079968129098	4.05276364164616e-16	1.17327507425656e-13	26.2776513647053
OG0008897	1.59320796590219	6.9828944640089	10.0958139666808	4.28487253529811e-16	1.18287252003565e-13	26.2123358926441
OG0007603	2.45874528124973	3.00554731467001	10.0955416021732	4.29021121256453e-16	1.18287252003565e-13	26.1484904594226
OG0007146	-1.99030973937566	6.38046876958196	-10.0319371641205	5.73865146015297e-16	1.54543218392027e-13	25.9405795418415
OG0007712	1.51091277937998	6.72107700091038	10.0064352476937	6.44893345083995e-16	1.69724203092561e-13	25.8088253417436
OG0010892	2.30822300727716	6.39662991209609	9.84929342749277	1.32456881533911e-15	3.40855708480597e-13	25.1043585988721
OG0009616	1.98479527288523	6.02623326276604	9.81355965560162	1.56036597000318e-15	3.92805172448628e-13	24.9400265581101
OG0001338	1.91827484158811	5.00177380679747	9.76032276694813	1.99193421348138e-15	4.90778684938603e-13	24.6998151644938
OG0004845	1.12000341435345	6.03858695641901	9.74837693795521	2.10415815170443e-15	5.07628154098693e-13	24.6501387913263
OG0000755	-1.58272472147216	4.99898455594988	-9.72295469371398	2.36452269025099e-15	5.58799443940949e-13	24.5411104714697
OG0008138	1.29428013862197	6.45210843094647	9.68263761491716	2.84522204438065e-15	6.58953425478559e-13	24.3460582872393
OG0003028	1.57985431463388	6.50410653817953	9.619723638584	3.79830540774936e-15	8.62438757288971e-13	24.06117617543
OG0008843	1.48730159900172	7.97568576257334	9.59447936627621	4.26534173472698e-15	9.49858794002663e-13	23.9523461585066
OG0003553	-1.24738594757744	5.02329513036495	-9.53947266265416	5.4919749382652e-15	1.18238925089365e-12	23.7161033686875
OG0010010	1.65281839454894	6.85345536669774	9.53861240516115	5.51373225805327e-15	1.18238925089365e-12	23.6941285917103
OG0002818	-1.42197190077238	4.54581288303208	-9.43007545140948	9.08177698864658e-15	1.91212686415504e-12	23.2217275618365
OG0005375	3.39119751075391	3.93639914834457	9.39118554961161	1.08607767377238e-14	2.20645253724283e-12	23.0503504044519
OG0004167	-1.12367743828011	3.16289447424089	-9.39221627542988	1.08094001149925e-14	2.20645253724283e-12	23.0429419724718
OG0010559	1.2871622452491	5.2717346760053	9.31226886669341	1.56157230683284e-14	3.08275586246633e-12	22.6863010234489
OG0001518	-1.29486316525017	5.23151990655962	-9.31100781877078	1.57066144978854e-14	3.08275586246633e-12	22.6725938253563
OG0008064	-1.56940588333456	4.98669889610455	-9.26423023119952	1.9479966328419e-14	3.75963350138487e-12	22.4895487328611
OG0001589	1.32006158828377	7.22879879736287	9.05168410871453	5.18385300862153e-14	9.84082259669465e-12	21.4834215610606
OG0005514	1.8429289785413	5.20527537963935	8.98667908975427	6.99354201583013e-14	1.30621317005343e-11	21.2335901890232
OG0008139	1.22232756201675	5.82672042738605	8.97431114259873	7.40356450427937e-14	1.36084566602468e-11	21.1504270541035
OG0010617	2.7093063786531	4.74119467727362	8.95430621586488	8.11827739565164e-14	1.44630234217917e-11	21.0856903755526
OG0007125	-1.10759287080452	5.56261828169856	-8.95738133119168	8.00408313977449e-14	1.44630234217917e-11	21.0701256940294
OG0004890	2.6148468036942	8.29196896945136	8.93683793487134	8.79857635185776e-14	1.54375021446232e-11	20.9831992868719
OG0006285	-1.19127007488999	6.20770067046213	-8.8885797546983	1.09891208680281e-13	1.89931372614575e-11	20.745210558304
OG0009821	1.16374152276124	6.58178894986945	8.80146169551634	1.64156385592163e-13	2.79548668405477e-11	20.3699105052328
OG0001213	1.62874927475533	5.37918150345894	8.7863840315522	1.75963233134262e-13	2.95312208651414e-11	20.2828965873334
OG0009049	1.94440004533959	6.45325307469828	8.67401790080934	2.9525327086507e-13	4.88433268088216e-11	19.7790067072687
OG0006733	-1.9561310722835	3.7039504489505	-8.60766143260483	4.00775245687583e-13	6.53658780994677e-11	19.5272037074995
OG0010350	1.43337508734097	4.4399689171288	8.57254881425891	4.71096653011758e-13	7.57680450260578e-11	19.3422601533282
OG0002190	-1.35856152438242	4.68874097816737	-8.53570372723847	5.5817752583521e-13	8.85437773859141e-11	19.1835179960129
OG0009249	1.70771512118447	6.09172373996856	8.48368348987301	7.0917243868298e-13	1.10975903242553e-10	18.91272199088
OG0002321	1.3809906536388	6.83818029880719	8.46092922881624	7.87453409311858e-13	1.20573365748911e-10	18.8070424789805
OG0001990	1.69996970764619	6.25871340313891	8.45986255154837	7.91327789025667e-13	1.20573365748911e-10	18.8010363586289
OG0006635	0.905125551018124	3.98353678670909	8.40825643228723	1.00337972438263e-12	1.50897885822738e-10	18.5800834721174
OG0001112	0.994383829328677	5.31979765204768	8.39447617042562	1.06903682897542e-12	1.58710852301735e-10	18.5415615549908
OG0011480	-1.60866894562946	3.75060692297386	-8.34513654487645	1.34131922301179e-12	1.9661362787945e-10	18.3365305804724
OG0000345	-1.31534264683053	4.78660391072959	-8.30869171570204	1.58597386329e-12	2.26735522677756e-10	18.177007462827
OG0005282	1.31350969753324	6.37488281224376	8.28993171059805	1.72879423059331e-12	2.44139477930128e-10	18.037936374619
OG0007810	2.24533467473116	2.74371650398198	8.32064367315109	1.50118969461645e-12	2.17297208295731e-10	17.9856444850675
OG0006153	1.83293080299087	3.86241047854624	8.26288409682943	1.95759849665118e-12	2.73120368568924e-10	17.9836488261722
OG0008284	1.8516535203956	4.32192492582935	8.24417092351083	2.13335561248525e-12	2.94098309435467e-10	17.8995866427549
OG0000985	1.04242639234912	6.91236086539622	8.20954468379923	2.50114570295703e-12	3.40744320473441e-10	17.6628683267943
OG0002874	1.35143056617304	5.81133357331336	8.20345452693562	2.57208881135703e-12	3.46334749250167e-10	17.6388206307419
OG0004200	1.35577447915818	5.47923965103377	8.13802659224805	3.47326939498425e-12	4.6230413326342e-10	17.3442959147188
OG0005303	1.7848492733011	5.71480118719229	8.12678120383276	3.6572213433169e-12	4.79035687211511e-10	17.3219061456438
OG0003830	-1.33524527463106	5.28835994165141	-8.1253270288702	3.68170778599521e-12	4.79035687211511e-10	17.3029409604274
OG0002571	2.52589363098783	7.86446877194126	8.10059642884699	4.12409632833157e-12	5.30633727578661e-10	17.1851488569149
OG0000145	-1.24000431591468	4.41672558183088	-8.06510952434578	4.85309097608053e-12	6.10856451119701e-10	17.0778885325145
OG0002308	-1.61418458491337	4.66752215254292	-8.07127156716112	4.71786732575477e-12	6.00361578376266e-10	17.0563534308797
OG0009752	-1.4508446106197	4.24187950892519	-8.04301728337925	5.370460361088e-12	6.4781178105624e-10	17.0060317456727
OG0001595	-1.32176318716728	6.04329497396868	-8.05933384190636	4.98334382729044e-12	6.20506683011003e-10	16.9968794884155
OG0000557	2.40101422488037	4.81931630490384	8.05686649768137	5.04004480588536e-12	6.20890626086728e-10	16.9885923039876
OG0001045	1.01519906724997	5.9943693115714	8.04592285090291	5.2993939286835e-12	6.45968228359526e-10	16.9271430025612
OG0004730	1.57897278704107	9.14455703964244	8.03836105862214	5.48633303038916e-12	6.54966355586665e-10	16.9119313716642
OG0005671	-0.944517523883847	4.78694938949539	-7.98151176464624	7.11914673735522e-12	8.32724436551247e-10	16.7091788511737
OG0005127	1.1090625504814	5.97120276682559	7.98603123451894	6.97326062228167e-12	8.23983244959406e-10	16.6848802184448
OG0009003	1.8646645763096	6.74395954203393	7.96408644816313	7.71068334206699e-12	8.92897131011357e-10	16.5721278291964
OG0003176	-1.07510811713112	4.11695489759495	-7.93618436037822	8.76159348289027e-12	1.00454705477098e-09	16.5152019707602
OG0010266	2.59311159429218	4.32321862565406	7.9284468448905	9.07752339241427e-12	1.02056039693357e-09	16.4766398196174
OG0009229	2.56857154355056	4.9870862731924	7.93030425705089	9.00066268890789e-12	1.02056039693357e-09	16.4708370437674
OG0003283	-0.92669076978692	4.46320609181102	-7.89775732205988	1.0446486514868e-11	1.14536802318931e-09	16.3232854088501
OG0004538	1.26519309645735	10.0128807989399	7.89987581469623	1.03457046077881e-11	1.14536802318931e-09	16.3050146858158
OG0002764	1.16908580335738	7.66940662288474	7.8969662438731	1.04843705058779e-11	1.14536802318931e-09	16.2630287875595
OG0003882	-1.83999367217963	5.89900796428771	-7.88384155541273	1.11332637557555e-11	1.20096945972191e-09	16.2046864224234
OG0001069	0.888788194535032	7.18375712941704	7.88252057137419	1.12007514378209e-11	1.20096945972191e-09	16.1862368170837
OG0005206	1.51872689576671	7.25861354033125	7.86131881849071	1.23414441423255e-11	1.31113690979935e-09	16.0963147566554
OG0009801	1.54311958992041	5.76139172848414	7.82625818009084	1.44872945650061e-11	1.51137721678172e-09	15.9753489285824
OG0006888	1.56721579398543	5.0808541496469	7.82788328944522	1.43800722039769e-11	1.51137721678172e-09	15.9562964242926
OG0002471	-1.27066510069354	4.45867410515406	-7.81700649928192	1.51130634643245e-11	1.56258281175784e-09	15.9371240704963
OG0003876	1.60838521302617	5.02233179984587	7.80969194071439	1.56268171380724e-11	1.58735563560419e-09	15.8854984009657
OG0005622	-0.789682572172412	7.1030754401211	-7.81408063895645	1.53165159745978e-11	1.56960402642339e-09	15.8781657051352
OG0011070	1.75480614712736	5.78318645978573	7.78721234333938	1.73172055860545e-11	1.74376731031748e-09	15.7896647556893
OG0008429	1.72035316292874	5.52728960437599	7.73255622288832	2.22262592148091e-11	2.19982975818367e-09	15.6030896930478
OG0002948	-0.777691988149432	5.40552439614348	-7.74356663629125	2.1136815598057e-11	2.11003728125431e-09	15.5979365213442
OG0006840	-1.10809936223536	4.13285339716716	-7.71013993213114	2.46201823240318e-11	2.41611619756177e-09	15.5240214899408
OG0001231	1.03459890544805	5.13372115776549	7.69560431408912	2.63080636671841e-11	2.53872814388327e-09	15.3586265474817
OG0006274	2.13786817117007	2.9548914269465	7.61541080442264	3.79166839100709e-11	3.59897704654607e-09	15.0870241459335
OG0009534	1.6311209395911	6.76064000529946	7.63425466189385	3.47976977903978e-11	3.33022595382485e-09	15.0776955876905
OG0007925	-1.31943571223234	4.48882757945468	-7.60270281972641	4.01757208421136e-11	3.75189393025545e-09	15.0605517473613
OG0007846	1.8162236477664	7.60865849262611	7.60351170761168	4.00280170453432e-11	3.75189393025545e-09	14.9434191835068
OG0007716	-0.809829835947091	5.83249101552157	-7.59601438798973	4.14180171400106e-11	3.83696510785059e-09	14.9125637223742
OG0006570	4.28474513386428	-0.766825352986511	7.69936382732113	2.58607628663624e-11	2.51653473943258e-09	14.9045383656954
OG0001241	1.43505037985045	6.39637907720944	7.5931760725109	4.19566915059812e-11	3.85601974316875e-09	14.895272439554
OG0006935	1.21061202589045	5.0798175085495	7.57232059500793	4.61346454559759e-11	4.20660782976536e-09	14.8012563507383
OG0007865	2.22695896808878	6.77127440777591	7.55367095452466	5.02201803257502e-11	4.54335693884521e-09	14.7333354406107
OG0008506	-1.33878373408107	4.64009527927089	-7.52755364824585	5.65537945084568e-11	5.03763800313793e-09	14.7105452114503
OG0009134	-1.48647734198343	4.72210791777259	-7.51296143195471	6.0432456892724e-11	5.30157462740715e-09	14.6708711557337
OG0004432	1.34876953564329	5.09457528122565	7.52973794957	5.59949248422385e-11	5.02652116025676e-09	14.6215508477768
OG0001768	1.06224247421452	7.08289911773858	7.51114626554001	6.09330903376e-11	5.30530215119856e-09	14.5224191212791
OG0008171	2.42711996338603	3.69112176294867	7.51770884700851	5.91423654457569e-11	5.2280045180295e-09	14.4989080874599
OG0004945	0.979804659597052	11.6922821354701	7.47723393909543	7.10832477051583e-11	6.14286573452039e-09	14.4536257757759
OG0006673	0.718587423681455	4.16233003135578	7.44409196112894	8.26254315731514e-11	7.08742590827476e-09	14.2563289154575
OG0002794	-1.16129073267169	5.11403141110311	-7.41444135153198	9.45225192356923e-11	8.04831450550968e-09	14.2227458638862
OG0010158	3.75144931719735	5.14648658336656	7.37644944409426	1.1228812535432e-10	9.42243834494946e-09	14.0714797660864
OG0008644	-1.44927547613673	4.38529704558292	-7.35675194962143	1.2276878996051e-10	1.00876019183222e-08	13.9789068024148
OG0009225	1.50478801390589	7.09637541021803	7.38765469387447	1.06728353099923e-10	9.02127247370148e-09	13.9756083677157
OG0009268	2.69784073184922	4.35769347039953	7.3551805828215	1.23645637757919e-10	1.00876019183222e-08	13.9715608661022
OG0005265	1.41466217360066	11.003779835799	7.37157758187322	1.14794411380688e-10	9.56344808480837e-09	13.9677477444075
OG0008850	1.1767977612222	6.96003031825264	7.35508453364349	1.23699436304124e-10	1.00876019183222e-08	13.8268524920569
OG0002372	-1.07238011484938	3.8643344881929	-7.32956143896561	1.38852645771728e-10	1.12441513149413e-08	13.7899585120206
OG0011038	2.12553599607622	1.91966147191444	7.32244518843911	1.43397428171501e-10	1.14520152981102e-08	13.7806295431752
OG0005846	1.00927845106861	6.94529702963134	7.32549133310379	1.41434179239566e-10	1.13736652471818e-08	13.6965082730667
OG0011267	0.881408193377089	6.03055694487087	7.27768986188819	1.75570813126616e-10	1.39254110685357e-08	13.4936645225136
OG0005251	1.61780646700918	5.77135823396217	7.2610389061176	1.89292555523805e-10	1.48108634659842e-08	13.4591597409876
OG0006792	1.16489685815428	5.94039294988157	7.26412693358817	1.86669624450419e-10	1.4704994905686e-08	13.4294649857377
OG0009361	1.03930550583574	7.64840726717822	7.25061566213764	1.98419474778633e-10	1.54207887109837e-08	13.3661490774486
OG0003240	-1.28401079133792	3.12372204043939	-7.21331825414948	2.34810256903679e-10	1.80073031453285e-08	13.3504281545979
OG0001007	-0.829320325494922	7.3787902026966	-7.23231707064233	2.15512881278775e-10	1.66375944347214e-08	13.2901615775369
OG0001289	2.0379090031224	4.20320908804854	7.20705301657637	2.41543185883916e-10	1.82815038727826e-08	13.2281978274687
OG0001568	2.57002593379675	7.44127498472081	7.20940173303073	2.38996946027257e-10	1.82077936512871e-08	13.1960648357183
OG0005036	1.25786267055283	4.23661264865799	7.19549444177287	2.54472101831168e-10	1.89470481062407e-08	13.1845412097544
OG0004187	-1.14116543164386	3.02401860869583	-7.17670015337966	2.76978699799767e-10	2.03000844536791e-08	13.1722153711371
OG0004880	0.950122622458548	6.30930854151846	7.20044631876891	2.48851008772221e-10	1.87123031271579e-08	13.1427770239612
OG0001599	1.00274303085734	6.3735534644913	7.19482189713476	2.55245207648838e-10	1.89470481062407e-08	13.1159552645903
OG0009989	-1.13534259178575	3.37893349184892	-7.15617177374766	3.03827200070342e-10	2.15849868167204e-08	13.1124447713266
OG0005945	1.17031245585701	3.97491943844463	7.15898995075414	2.99993599590611e-10	2.15771793991259e-08	13.1113171545338
OG0003375	1.05847598839662	5.29310539627698	7.19220472289422	2.58275993233643e-10	1.90499108385069e-08	13.1048316105482
OG0005810	1.22727961492402	5.16488241282279	7.17368885739891	2.80764266426483e-10	2.04481144982306e-08	13.0559271011157
OG0004184	2.24290257950431	2.60159694943869	7.16145377580671	2.96681435516583e-10	2.14723188955127e-08	13.0351281162236
OG0010379	1.48857233130915	5.22538864066203	7.15346281932619	3.07558102310784e-10	2.15849868167204e-08	13.0240200457649
OG0009083	1.58419864699302	5.16536167102418	7.15419936599634	3.06539211680979e-10	2.15849868167204e-08	12.9863059307154
